dataset_id,Nf,stress_amp,strain_amp,deltaK,dadN,fatigue_data_type,material,am_process,am_machine,power_w,scan_speed,hatch_spacing,layer_thickness,preheat_temp,build_direction,am_environment,scan_pattern,scan_rotation,fatigue_temp,fatigue_environment,r_ratio,frequency_hz,load_control,specimen_description,specimen_size_mm,Kt,E_gpa,yield_strength,uts,elongation,material_group
83,2772646.157865191,280.15019365201357,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,4485719.409678997,300.04019878250466,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,10011537.886542454,199.5510884216988,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,10030972.498116175,219.76218905702325,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,10050444.836573727,209.84730950007167,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,99664.710731778,299.83235600171395,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,191295.7046632871,249.61834351770705,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,272680.83858473785,219.80583819726223,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,337760.631405758,199.90003157987374,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,577881.6430167526,179.84893330148148,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,948800.9494372474,149.6965927216819,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,2666557.9581869664,129.95399089320424,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,2684199.740004702,99.2305389648339,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,2997560.8416030006,90.02448429944286,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
84,4073296.467801766,107.17654237647851,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
